interval_start_time,X,Y,dateTimeDayofTheWeek,year,month,day,hour,minute,people
2019-04-22 2:00:00,10.73397929,59.91301053,2,2019,4,22,2,0,83
2019-04-22 2:05:00,10.73397929,59.91301053,2,2019,4,22,2,5,94
2019-04-22 2:10:00,10.73397929,59.91301053,2,2019,4,22,2,10,108
2019-04-22 2:15:00,10.73397929,59.91301053,2,2019,4,22,2,15,102
2019-04-22 2:20:00,10.73397929,59.91301053,2,2019,4,22,2,20,106
2019-04-22 2:25:00,10.73397929,59.91301053,2,2019,4,22,2,25,102
2019-04-22 2:30:00,10.73397929,59.91301053,2,2019,4,22,2,30,100
2019-04-22 2:35:00,10.73397929,59.91301053,2,2019,4,22,2,35,92
2019-04-22 2:40:00,10.73397929,59.91301053,2,2019,4,22,2,40,94
2019-04-22 2:45:00,10.73397929,59.91301053,2,2019,4,22,2,45,90
2019-04-22 2:50:00,10.73397929,59.91301053,2,2019,4,22,2,50,87
2019-04-22 2:55:00,10.73397929,59.91301053,2,2019,4,22,2,55,85
2019-04-22 3:00:00,10.73397929,59.91301053,2,2019,4,22,3,0,72
2019-04-22 3:05:00,10.73397929,59.91301053,2,2019,4,22,3,5,66
2019-04-22 3:10:00,10.73397929,59.91301053,2,2019,4,22,3,10,61
2019-04-22 3:15:00,10.73397929,59.91301053,2,2019,4,22,3,15,58
2019-04-22 3:20:00,10.73397929,59.91301053,2,2019,4,22,3,20,43
2019-04-22 3:25:00,10.73397929,59.91301053,2,2019,4,22,3,25,57
2019-04-22 3:30:00,10.73397929,59.91301053,2,2019,4,22,3,30,53
2019-04-22 3:35:00,10.73397929,59.91301053,2,2019,4,22,3,35,43
2019-04-22 3:40:00,10.73397929,59.91301053,2,2019,4,22,3,40,51
2019-04-22 3:45:00,10.73397929,59.91301053,2,2019,4,22,3,45,50
2019-04-22 3:50:00,10.73397929,59.91301053,2,2019,4,22,3,50,46
2019-04-22 3:55:00,10.73397929,59.91301053,2,2019,4,22,3,55,49
2019-04-22 4:00:00,10.73397929,59.91301053,2,2019,4,22,4,0,41
2019-04-22 4:05:00,10.73397929,59.91301053,2,2019,4,22,4,5,42
2019-04-22 4:10:00,10.73397929,59.91301053,2,2019,4,22,4,10,43
2019-04-22 4:15:00,10.73397929,59.91301053,2,2019,4,22,4,15,43
2019-04-22 4:20:00,10.73397929,59.91301053,2,2019,4,22,4,20,38
2019-04-22 4:25:00,10.73397929,59.91301053,2,2019,4,22,4,25,35
2019-04-22 4:30:00,10.73397929,59.91301053,2,2019,4,22,4,30,35
2019-04-22 4:35:00,10.73397929,59.91301053,2,2019,4,22,4,35,38
2019-04-22 4:40:00,10.73397929,59.91301053,2,2019,4,22,4,40,38
2019-04-22 4:45:00,10.73397929,59.91301053,2,2019,4,22,4,45,38
2019-04-22 4:50:00,10.73397929,59.91301053,2,2019,4,22,4,50,38
2019-04-22 4:55:00,10.73397929,59.91301053,2,2019,4,22,4,55,38
2019-04-22 5:00:00,10.73397929,59.91301053,2,2019,4,22,5,0,36
2019-04-22 5:05:00,10.73397929,59.91301053,2,2019,4,22,5,5,36
2019-04-22 5:10:00,10.73397929,59.91301053,2,2019,4,22,5,10,36
2019-04-22 5:15:00,10.73397929,59.91301053,2,2019,4,22,5,15,36
2019-04-22 5:20:00,10.73397929,59.91301053,2,2019,4,22,5,20,34
